Path,Exists,ExpectedSHA256,CurrentSHA256,ExactMatch
apps/api/src/middleware/__tests__/appInsights.test.ts,YES,,b0e62510d85a815e8a32ee5caf2e11f378756496bdf9ede4dbf2b58476ae0cb8,NO
apps/api/src/routes/enforcement-cases.ts,YES,,0246236aeb7651488b4ed6551d7ea56d252a45cef0bf17861cfe35ddd7ef11d7,NO
apps/api/src/routes/listings.ts,YES,,dab886beb467b2b70fe40ff24a930caed7f1dbfdab70a99c4153c43c1559d1cd,NO
apps/api/src/services/__tests__/blobService.test.ts,YES,,b90f3d565f52d5ef802b74e06de8460a10b8d2c5b82ec44322389253e723cd65,NO
apps/api/src/services/listingService.ts,YES,,2642f07defd8c71efa106e906067142e4a1621220b0b3f66a5738b223ba1fb37,NO
apps/api/src/utils/errors.ts,YES,,4781e10f6cd2369a1b3c3a7756da9c921da722121dcdea58e05744becdbd9a74,NO
build-manifest.json,YES,,cfec5b06eba779eaf8d9a9ed3f684bd5006ae6a2b254435e865d2338228c83d6,NO
debug.js,YES,,2fa8124af3ae0ec4cf4e722f7c29f180b56537bb59a3fe755796ddc685e50709,NO
docs/final-documentation.zip,YES,,5e38a40530ad214534562e6db7ad3b793d348684fc2e8130a906d5d4d032dcdf,NO
docs/final-documentation/00-DOCUMENT-CONTROL/RENTipid_DOCUMENTATION_FILE_HASHES.sha256,YES,,fa28a4abce401eed0dde4e089f27ce0f57abc59b72944b892a6dce810dc1b014,NO
docs/final-documentation/09-DIAGRAMS/rendered-png/01-system-context.png,YES,,8cd43dc89d65cfe3915c5d6d9da91530e3c32c43b086b2a55e6cdc17d6ce8d2a,NO
docs/final-documentation/09-DIAGRAMS/rendered-png/02-user-role-ecosystem.png,YES,,58cb34ea7178f1142f3a2a97eae86fa8d25cb460f23b23caf96e1b41ddf8d595,NO
docs/final-documentation/09-DIAGRAMS/rendered-png/03-vercel-azure-architecture-direction.png,YES,,cb2a14c521f9090d01421d49f8b15c06cfaa03a2f51c750c775dbdb4456c061e,NO
docs/final-documentation/09-DIAGRAMS/rendered-png/04-repository-runtime-transition.png,YES,,fb639da9e4e5480cf8594f89bf62096a4e70366a93a53d25c16ec999c11118d6,NO
docs/final-documentation/09-DIAGRAMS/rendered-png/05-renter-journey.png,YES,,7c035c4f50121220272dfa1648a3d80c734aaf7689a3c6b2fb9a8886bc018972,NO
docs/final-documentation/09-DIAGRAMS/rendered-png/06-provider-journey.png,YES,,5588cdc8b8e4b8b61dea5eafc990c5c4b63694933f6caa440cca6ee8117c08ce,NO
docs/final-documentation/09-DIAGRAMS/rendered-png/07-listing-lifecycle.png,YES,,276a173c974bb0a30f4a5f2ee2d7f6b88c2687ca6989acdddef7d5c68361b279,NO
docs/final-documentation/09-DIAGRAMS/rendered-png/08-booking-lifecycle.png,YES,,7dc8e984f13af12b3e9dac6eff8a3286aa445f829b047a35f49d680c6f305e4a,NO
docs/final-documentation/09-DIAGRAMS/rendered-png/09-agreement-lifecycle.png,YES,,6e9558df00c02f5d45976a0e1a85205fcfdf34dd2366b21fe90ec609815b8633,NO
docs/final-documentation/09-DIAGRAMS/rendered-png/10-payment-webhook-reconciliation.png,YES,,cf45b18fd55850f91d0bc88a9c96bdc9a33f1f2135d3cc54db841f109d2b8033,NO
docs/final-documentation/09-DIAGRAMS/rendered-png/11-deposit-refund-payout.png,YES,,ed7d6f9fd9433f38ee689c99edacd5aef7983d209f9ecf91815f0fd39bc2f36f,NO
docs/final-documentation/09-DIAGRAMS/rendered-png/12-inspection-claim-dispute.png,YES,,8d6f4a2b966e958f52f7d401b2f228d8b77e1f4cdc98c47dd7f02614471e3922,NO
docs/final-documentation/09-DIAGRAMS/rendered-png/13-kyc-business-verification.png,YES,,6792c00eaf8629b5b3f21011d3d98f6d07df70b4a375a73d5c4d7138023e688f,NO
docs/final-documentation/09-DIAGRAMS/rendered-png/14-soc-event-to-response.png,YES,,113ef355bdf63cad626b3d787887b634b04c7be83edf5d0a669e40aec355cb0f,NO
docs/final-documentation/09-DIAGRAMS/rendered-png/15-detection-alert-flow.png,YES,,acfb69ed43ea24ef1355b7e9b1d4fdabecd945fe39a840f1a8dc1a60c63abac6,NO
docs/final-documentation/09-DIAGRAMS/rendered-png/16-incident-approval-execution-rollback.png,YES,,5f1f30c82c023ab7f02dea518196d84fac338ecb26163c6c616e38c3d2483556,NO
docs/final-documentation/09-DIAGRAMS/rendered-png/17-emergency-freeze.png,YES,,633b22b8255ee05e3d025ba70aaea4c06aa44a5b9c1f6112bb2bdbcbdd0fddc5,NO
docs/final-documentation/09-DIAGRAMS/rendered-png/18-ai-digital-human-architecture.png,YES,,2186142bcb7bc01758fbddb8706de1cfd89908c2bcb1b37f60bba1484a926096,NO
docs/final-documentation/09-DIAGRAMS/rendered-png/19-ai-tool-gateway.png,YES,,47eb874bb209a673d7b39581d329323bbbf6076ad0d333e65fb1583a985cb152,NO
docs/final-documentation/09-DIAGRAMS/rendered-png/20-ai-support-case-lifecycle.png,YES,,2b7d51fbb3d4517ce4295bdfc4ee7bacad8b765001cf64687b99bc559141918d,NO
docs/final-documentation/09-DIAGRAMS/rendered-png/21-database-domain-map.png,YES,,993b5ed190670c22bfb9744d71b4fe066ed72c36a6d297568d275258b0c25667,NO
docs/final-documentation/09-DIAGRAMS/rendered-png/22-api-integration-map.png,YES,,1f4f153cc60174d20030c6316204bbbb5f9fc92ab8d4d8a525c8cb2d10524e11,NO
docs/final-documentation/09-DIAGRAMS/rendered-png/23-pwa-capacitor-architecture.png,YES,,af3e24be22726bcb64ffac17eb695e6bfea7291cdb36aac27441b416b8df1de5,NO
docs/final-documentation/09-DIAGRAMS/rendered-png/24-monitoring-backup-recovery.png,YES,,d603ad9c2ce8c9f85c36117b0e0c00e8c5996419e9c4c341d0e802cee6932fda,NO
